Sample,ACCESSION,TAXID,SCIENTIFIC_NAME,COUNTRY,CLOSEST_CITY,CLOSEST_LOCALITY,ESTIMATED_AGE,LONGITUDE,BREED,LATITUDE,GENDER,SAMPLING_DATE
UGBT-G2-0445,ERS420957,30523,Bos taurus x Bos indicus,Uganda,KITGUM,MUCWIN,60 months,33.06202,Shorthorn Zebu,3.49713,male,2011-08-02
UGBT-G2-0446,ERS239088,30523,Bos taurus x Bos indicus,Uganda,KITGUM,MUCWIN,48 months,32.94359,Ankole Zebu cross,3.35815,male,2011-08-02
UGBT-G3-0490,ERS420965,30523,Bos taurus x Bos indicus,Uganda,PADER,PAJULE,36 months,33.07119,Ankole,3.0387,male,2011-08-05
UGBT-G3-0495,ERS420970,30523,Bos taurus x Bos indicus,Uganda,PADER,PAJULE,24 months,33.07119,Shorthorn Zebu,3.0387,male,2011-08-05
UGBT-G3-0502,ERS420977,30523,Bos taurus x Bos indicus,Uganda,PADER,PAJULE,36 months,33.06567,Shorthorn Zebu,2.98782,male,2011-08-05
UGBT-G3-0503,ERS420978,30523,Bos taurus x Bos indicus,Uganda,PADER,PAJULE,36 months,33.06567,Shorthorn Zebu,2.98782,male,2011-08-05
UGBT-G6-0562,ERS421034,30523,Bos taurus x Bos indicus,Uganda,NAKASONGOLA,BAMUGOLODE,84 months,32.76132,Ankole,1.18822,male,2012-01-10
UGBT-G7-0049,ERS421057,30523,Bos taurus x Bos indicus,Uganda,JINJA,BUTAGAYA SC,60 months,33.12106,Ankole,0.61905,male,2011-04-15
UGBT-G7-0050,ERS421058,30523,Bos taurus x Bos indicus,Uganda,JINJA,BUTAGAYA SC,36 months,33.12106,Ankole,0.61905,male,2011-04-15
UGBT-H2-0419,ERS421061,30523,Bos taurus x Bos indicus,Uganda,KITGUM,OROM,60 months,33.46838,Ankole Zebu cross,3.40943,male,2011-08-01
UGBT-H2-0423,ERS421065,30523,Bos taurus x Bos indicus,Uganda,KITGUM,OROM,72 months,33.48622,Shorthorn Zebu,3.55361,male,2011-08-01
UGBT-H2-0424,ERS421066,30523,Bos taurus x Bos indicus,Uganda,KITGUM,OROM,84 months,33.48622,Shorthorn Zebu,3.55361,male,2011-08-01
UGBT-H2-0426,ERS421068,30523,Bos taurus x Bos indicus,Uganda,KITGUM,OROM,48 months,33.48641,Shorthorn Zebu,3.35978,male,2011-08-01
UGBT-H2-0428,ERS421070,30523,Bos taurus x Bos indicus,Uganda,KITGUM,OROM,96 months,33.48641,Ankole Zebu cross,3.35978,male,2011-08-01
UGBT-H3-0453,ERS421078,30523,Bos taurus x Bos indicus,Uganda,ABIM,ALEREK,72 months,33.656794,Shorthorn Zebu,2.70009,male,2011-08-03
UGBT-H3-0455,ERS421080,30523,Bos taurus x Bos indicus,Uganda,ABIM,ALEREK,12 months,33.75225,Shorthorn Zebu,2.82619,male,2011-08-03
UGBT-H3-0456,ERS421081,30523,Bos taurus x Bos indicus,Uganda,ABIM,ALEREK,24 months,33.75225,Shorthorn Zebu,2.82619,male,2011-08-03
UGBT-H3-0457,ERS421082,30523,Bos taurus x Bos indicus,Uganda,ABIM,ALEREK,12 months,33.75225,Shorthorn Zebu,2.82619,male,2011-08-03
UGBT-H3-0458,ERS421083,30523,Bos taurus x Bos indicus,Uganda,ABIM,ALEREK,96 months,33.73854,Shorthorn Zebu,2.81939,male,2011-08-03
UGBT-H3-0459,ERS421084,30523,Bos taurus x Bos indicus,Uganda,ABIM,ALEREK,24 months,33.73854,Shorthorn Zebu,2.81939,male,2011-08-03
UGBT-H4-0863,ERS421096,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,36 months,33.47195,East African Shorthorn Zebu,2.14746,male,2012-01-24
UGBT-H4-0866,ERS421099,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,36 months,33.47195,East African Shorthorn Zebu,2.14746,male,2012-01-24
UGBT-H4-0868,ERS421101,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,48 months,33.67712,East African Shorthorn Zebu,2.28745,male,2012-01-24
UGBT-H4-0869,ERS421102,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,60 months,33.67712,East African Shorthorn Zebu,2.28745,male,2012-01-24
UGBT-H4-0870,ERS421103,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,60 months,33.67712,East African Shorthorn Zebu,2.28745,male,2012-01-24
UGBT-H4-0873,ERS421106,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,24 months,33.52712,East African Shorthorn Zebu,2.47919,male,2012-01-24
UGBT-H4-0874,ERS421107,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,84 months,33.52712,East African Shorthorn Zebu,2.47919,male,2012-01-24
UGBT-H4-0875,ERS421108,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,60 months,33.52712,East African Shorthorn Zebu,2.47919,male,2012-01-24
UGBT-H4-0877,ERS421110,30523,Bos taurus x Bos indicus,Uganda,AMURIA,KAPELABYONG,36 months,33.52712,East African Shorthorn Zebu,2.47919,male,2012-01-24
UGBT-H6-0811,ERS421139,30523,Bos taurus x Bos indicus,Uganda,NAMUTUMBA,NAKALOKWE,72 months,33.72608,East African Shorthorn Zebu,0.84916,male,2012-01-18
UGBT-H6-0812,ERS421140,30523,Bos taurus x Bos indicus,Uganda,NAMUTUMBA,NAKALOKWE,60 months,33.72608,East African Shorthorn Zebu,0.84916,male,2012-01-18
UGBT-H6-0813,ERS421141,30523,Bos taurus x Bos indicus,Uganda,NAMUTUMBA,NAKALOKWE,48 months,33.72608,East African Shorthorn Zebu,0.84916,male,2012-01-18
UGBT-H6-0814,ERS421142,30523,Bos taurus x Bos indicus,Uganda,NAMUTUMBA,NAKALOKWE,48 months,33.72608,East African Shorthorn Zebu,0.84916,male,2012-01-18
UGBT-H6-0815,ERS421143,30523,Bos taurus x Bos indicus,Uganda,NAMUTUMBA,NAKALOKWE,72 months,33.72608,East African Shorthorn Zebu,0.84916,male,2012-01-18
UGBT-H6-0820,ERS421148,30523,Bos taurus x Bos indicus,Uganda,NAMUTUMBA,NAKYERE,48 months,33.73819,East African Shorthorn Zebu,0.78147,male,2012-01-18
UGBT-H7-0057,ERS421155,30523,Bos taurus x Bos indicus,Uganda,JINJA,BULAMAGI SC,72 months,33.42077,Shorthorn Zebu,0.65176,male,2011-04-15
UGBT-H7-0058,ERS421156,30523,Bos taurus x Bos indicus,Uganda,JINJA,BULAMAGI SC,48 months,33.42077,Shorthorn Zebu,0.65176,male,2011-04-15
UGBT-H7-0062,ERS421160,30523,Bos taurus x Bos indicus,Uganda,JINJA,MPUGWE SC,36 months,33.5566,Shorthorn Zebu,0.44152,male,2011-04-16
UGBT-H7-0063,ERS421161,30523,Bos taurus x Bos indicus,Uganda,JINJA,MPUGWE SC,120 months,33.5566,Shorthorn Zebu,0.44152,male,2011-04-16
UGBT-H7-0068,ERS421166,30523,Bos taurus x Bos indicus,Uganda,BUGIRI,BUKOLI,120 months,33.68813,Ankole,0.47944,male,2011-04-16
UGBT-H7-0070,ERS421168,30523,Bos taurus x Bos indicus,Uganda,BUGIRI,BUKOLI,120 months,33.68813,Shorthorn Zebu,0.47944,male,2011-04-16
UGBT-H7-0071,ERS421169,30523,Bos taurus x Bos indicus,Uganda,BUGIRI,Bukoli,,33.68813,Shorthorn Zebu,0.47944,female,2011-04-16
UGBT-H7-0072,ERS421170,30523,Bos taurus x Bos indicus,Uganda,BUGIRI,Bukoli,,33.68091,Shorthorn Zebu,0.52474,female,2011-04-17
UGBT-H7-0073,ERS421171,30523,Bos taurus x Bos indicus,Uganda,BUGIRI,Bukoli,,33.68091,Shorthorn Zebu,0.52474,female,2011-04-17
UGBT-I3-0484,ERS421191,30523,Bos taurus x Bos indicus,Uganda,KOTIDO,PANYANGARA,72 months,33.99299,Shorthorn Zebu,2.99355,male,2011-08-04
UGBT-I4-0882,ERS421197,30523,Bos taurus x Bos indicus,Uganda,NAPAK,IRIRI,36 months,33.96431,East African Shorthorn Zebu,2.12029,male,2012-01-25
UGBT-I4-0887,ERS421202,30523,Bos taurus x Bos indicus,Uganda,NAPAK,IRIRI,72 months,33.97197,East African Shorthorn Zebu,2.14746,male,2012-01-25
UGBT-I6-0023,ERS421235,30523,Bos taurus x Bos indicus,Uganda,BUTALEJA,BUTALEJA TC,,33.96317,East African Shorthorn Zebu,0.94494,male,2011-03-11
UGBT-I6-0827,ERS421242,30523,Bos taurus x Bos indicus,Uganda,BUDAKA,BUDAKA,18 months,33.95186,East African Shorthorn Zebu,1.01682,male,2012-01-18
UGBT-I7-0009,ERS421253,30523,Bos taurus x Bos indicus,Uganda,Tororo,Tororo,,34.12545,East African Shorthorn Zebu,0.59888,male,2011-03-10
UGBT-I7-0018,ERS421261,30523,Bos taurus x Bos indicus,Uganda,TORORO,OSUKURU,120 months,34.10406,East African Shorthorn Zebu,0.72644,male,2011-03-10
UGBT-I7-0020,ERS421263,30523,Bos taurus x Bos indicus,Uganda,TORORO,OSUKURU,96 months,34.10406,Ankole Zebu cross,0.72644,male,2011-03-10
UGBT-J4-0916,ERS421292,30523,Bos taurus x Bos indicus,Uganda,NAKAPIRIPIRITI,NAWEET,108 months,34.68632,East African Shorthorn Zebu,2.04746,male,2012-01-26
UGBT-J5-0918,ERS421294,30523,Bos taurus x Bos indicus,Uganda,NAKAPIRIPIRITI,NYATIRAE,72 months,34.59608,East African Shorthorn Zebu,1.93608,male,2012-01-27
UGBT-J5-0919,ERS421295,30523,Bos taurus x Bos indicus,Uganda,NAKAPIRIPIRITI,NYATIRAE,72 months,34.59608,East African Shorthorn Zebu,1.93608,male,2012-01-27
UGBT-J5-0920,ERS421296,30523,Bos taurus x Bos indicus,Uganda,NAKAPIRIPIRITI,NYATIRAE,120 months,34.59608,East African Shorthorn Zebu,1.93608,male,2012-01-27
UGBT-J5-0923,ERS421298,30523,Bos taurus x Bos indicus,Uganda,NAKAPIRIPIRITI,TOKORA,72 months,34.62992,East African Shorthorn Zebu,1.86651,male,2012-01-27
UGBT-J5-0924,ERS421299,30523,Bos taurus x Bos indicus,Uganda,NAKAPIRIPIRITI,TOKORA,72 months,34.62992,East African Shorthorn Zebu,1.86651,male,2012-01-27
UGBT-B10-0225,ERS420423,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAHARO,132 months,30.09057,Nkiga,-1.28401,female,2011-06-27
UGBT-B10-0226,ERS420424,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAHARO,36 months,30.09057,Nkiga,-1.28401,female,2011-06-27
UGBT-B10-0228,ERS420426,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAHARO,24 months,30.09057,Nkiga,-1.28401,female,2011-06-27
UGBT-B10-0229,ERS420427,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,60 months,29.97195,Nkiga,-1.42515,female,2011-06-28
UGBT-B10-0231,ERS420429,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,60 months,29.97195,Nkiga,-1.42515,female,2011-06-28
UGBT-B10-0232,ERS420430,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,72 months,29.97195,Nkiga,-1.42515,female,2011-06-28
UGBT-B10-0233,ERS420431,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,60 months,29.98299,Nkiga,-1.41958,female,2011-06-28
UGBT-B10-0234,ERS420432,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,48 months,29.98299,Nkiga,-1.41958,female,2011-06-28
UGBT-B10-0236,ERS420434,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,84 months,29.98299,Nkiga,-1.41958,female,2011-06-28
UGBT-B10-0237,ERS420435,30523,Bos taurus x Bos indicus,Uganda,Kabale,Rubaya,60 months,29.94839,Ankole,-1.39844,female,2011-06-28
UGBT-B10-0238,ERS420436,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,60 months,29.94839,Nkiga,-1.39844,female,2011-06-28
UGBT-B10-0239,ERS420437,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,60 months,29.94839,Nkiga,-1.39844,female,2011-06-28
UGBT-B10-0240,ERS420438,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,48 months,29.94839,Nkiga,-1.39844,female,2011-06-28
UGBT-B10-0241,ERS420439,30523,Bos taurus x Bos indicus,Uganda,KABALE,RUBAYA,72 months,29.94839,Nkiga,-1.39844,female,2011-06-28
UGBT-B7-0089,ERS420441,30523,Bos taurus x Bos indicus,Uganda,KASESE,RUKOKI,84 months,30.10559,Ankole,0.19685,female,2011-05-10
UGBT-B7-0090,ERS420442,30523,Bos taurus x Bos indicus,Uganda,KASESE,RUKOKI,60 months,30.10559,Ankole,0.19685,female,2011-05-10
UGBT-B7-0091,ERS420443,30523,Bos taurus x Bos indicus,Uganda,KASESE,RUKOKI,120 months,30.10559,Ankole,0.19685,female,2011-05-10
UGBT-B8-0092,ERS420445,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,144 months,29.90616,Ankole,0.00544,female,2011-05-10
UGBT-B8-0093,ERS420446,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,108 months,29.90616,Ankole,0.00544,female,2011-05-10
UGBT-B8-0094,ERS420447,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,24 months,29.90616,Ankole,0.00544,female,2011-05-10
UGBT-B8-0095,ERS420448,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,30 months,29.90616,Nsongora,0.00544,female,2011-05-10
UGBT-B8-0096,ERS420449,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,120 months,29.91862,Ankole,0.00937,female,2011-05-10
UGBT-B8-0097,ERS420450,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,96 months,29.91862,Ankole,0.00937,female,2011-05-10
UGBT-B8-0098,ERS420451,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,120 months,29.91862,Ankole,0.00937,female,2011-05-10
UGBT-B8-0099,ERS420452,30523,Bos taurus x Bos indicus,Uganda,KASESE,LAKE KATWE,96 months,29.91862,Ntuku,0.00937,female,2011-05-10
